X,Y,Z
-3.147461,2.4757996,0
-3.0883484,2.4526062,0
-3.0235443,2.479538,0
-2.952835,2.5112915,0
-2.918213,2.5580902,0
-2.9289246,2.6058502,0
-2.9568634,2.6354218,0
-3.004837,2.6263733,0
-3.0523071,2.6171112,0
-3.1137085,2.595642,0
-3.2175446,2.529892,0
-3.3625793,2.486679,0
-3.4965363,2.459961,0
-3.5894928,2.427185,0
-3.641571,2.4244385,0
-3.6338806,2.4428864,0
-3.57312,2.4487915,0
-3.4690247,2.434433,0
-3.3799744,2.4409943,0
-3.3289185,2.4594574,0
-3.3460236,2.4640045,0
-3.3783112,2.501068,0
-3.401123,2.5656128,0
-3.441803,2.6433258,0
-3.491272,2.7479095,0
-3.5029144,2.8851318,0
-3.4865112,3.0319061,0
-3.4498138,3.1931152,0
-3.344345,3.3327026,0
-3.201477,3.4613037,0
-3.0662994,3.5702362,0
-2.9929504,3.6615143,0
-3.0073242,3.727295,0
-3.0779266,3.7304077,0
-3.1780853,3.7029572,0
-3.2675781,3.64917,0
-3.3369293,3.5890808,0
-3.3857422,3.5427856,0
-3.4233398,3.5366669,0
-3.471756,3.5627441,0
-3.548172,3.6055908,0
-3.6106567,3.666687,0
-3.5968018,3.7334595,0
-3.5359955,3.8647614,0
-3.413742,4.0587006,0
-3.2286377,4.28125,0
-2.987671,4.4289093,0
-2.7258606,4.5409393,0
-2.6015015,4.5802307,0
-2.576355,4.55278,0
-2.596405,4.5217133,0
-2.6407166,4.5245056,0
-2.7001343,4.56131,0
-2.7940826,4.5860596,0
-2.9328003,4.5708466,0
-3.0954895,4.54718,0
-3.166687,4.497635,0
-3.181656,4.4605865,0
-3.1288605,4.401947,0
-3.0447998,4.307953,0
-3.0229797,4.169388,0
-3.1169434,3.9524536,0
-3.3094177,3.7460632,0
-3.6331635,3.5268097,0
-4.505234,3.2388306,0
-5.6768646,3.059311,0
-5.934784,3.127655,0
-5.211487,3.4803925,0
-4.135437,4.0224457,0
-3.4361877,4.6574554,0
-3.2974396,5.0344086,0
-3.4446259,5.3054657,0
-3.5699158,5.506897,0
-3.6081696,5.6168823,0
-3.6220245,5.64505,0
-3.6852417,5.585373,0
-3.7461853,5.421829,0
-3.7902222,5.1566315,0
-3.8520813,4.8819275,0
-3.9848785,4.610977,0
-4.101761,4.391678,0
-4.146942,4.230362,0
-4.1219788,4.139389,0
-4.0161743,4.0783386,0
-3.8690033,3.9946136,0
-3.7006989,3.9350739,0
-3.5373688,3.8543396,0
-3.4412537,3.7460785,0
-3.348053,3.64917,0
-3.2259216,3.5849762,0
-3.1012573,3.5764618,0
-3.00737,3.5764618,0
-2.9297333,3.5764618,0
-2.8294525,3.6060944,0
-2.687027,3.6184235,0
-2.4897156,3.631836,0
-2.2879944,3.6267395,0
-2.117569,3.6226196,0
-1.9891968,3.5876007,0
-1.9337463,3.513214,0
-1.9615784,3.4265137,0
-2.0576935,3.3250122,0
-2.17807,3.2627869,0
-2.304779,3.224289,0
-2.4207916,3.2034607,0
-2.5363617,3.1844025,0
-2.6190033,3.2063293,0
-2.674286,3.24115,0
-2.711502,3.2662811,0
-2.7377472,3.30307,0
-2.7412872,3.3336487,0
-2.7204742,3.3843842,0
-2.6651,3.453354,0
-2.5966034,3.5145721,0
-2.5121613,3.5803986,0
-2.4063416,3.6472626,0
-2.2513123,3.7338257,0
-2.0631866,3.8395538,0
-1.8417816,3.9299011,0
